index;Date;Time;B;C;PB;dB
0;08/29/2017;0:05:00;2428.25;2428.0;;
1;08/29/2017;0:10:00;2428.5;2428.25;0.25;0.25
2;08/29/2017;0:15:00;2429.0;2428.5;0.5;0.5
3;08/29/2017;0:20:00;2429.5;2428.75;0.5;0.5
4;08/29/2017;0:25:00;2429.25;2428.75;-0.25;0.0
5;08/29/2017;0:30:00;2429.25;2428.75;0.0;0.0
6;08/29/2017;0:35:00;2429.0;2428.75;-0.25;0.0
7;08/29/2017;0:40:00;2429.0;2428.5;0.0;0.0
8;08/29/2017;0:45:00;2428.75;2428.25;-0.25;0.0
9;08/29/2017;0:50:00;2429.25;2428.5;0.5;0.0
10;08/29/2017;0:55:00;2429.75;2429.0;0.5;0.25
11;08/29/2017;1:00:00;2429.5;2428.75;-0.25;0.0
12;08/29/2017;1:05:00;2430.25;2429.25;0.75;0.5
13;08/29/2017;1:10:00;2430.25;2429.75;0.0;0.0
